methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,2.0,3.0,1.0,3.0,3.0,3.0,6.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0
resampling,5.0,4.0,5.0,7.0,7.0,7.0,4.5,1.0,5.0,3.0,3.0,7.0,3.0,3.0,7.0,7.0
DomainInd,4.0,5.0,4.0,5.0,6.0,5.0,4.5,3.0,3.0,3.0,4.0,3.0,4.0,4.5,2.0,3.0
LAFTR,3.0,2.0,3.0,1.0,1.0,1.0,8.0,7.0,1.0,1.0,8.5,4.0,9.0,8.0,4.0,4.0
CFair,6.0,6.0,7.0,8.0,8.0,8.0,1.0,2.0,7.0,7.0,2.0,9.0,2.0,2.0,9.0,9.0
LNL,7.0,7.0,6.0,9.0,9.0,9.0,9.0,9.0,2.0,3.0,1.0,8.0,1.0,1.0,8.0,8.0
EnD,9.0,9.0,9.0,6.0,5.0,6.0,3.0,6.0,9.0,9.0,5.0,2.0,5.0,4.5,3.0,2.0
ODR,8.0,8.0,8.0,4.0,4.0,4.0,2.0,5.0,8.0,8.0,8.5,1.0,8.0,9.0,1.0,1.0
GroupDRO,1.0,1.0,2.0,2.0,2.0,2.0,7.0,8.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,5.0
