methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8792±0.001,0.8784±0.002,0.88±0.001,0.8861±0.003,0.8886±0.004,0.8829±0.003,0.9896±0.001,0.9935±0.002,0.9831±0.013,0.9883±0.005,0.9874±0.008,0.9842±0.011,0.9838±0.012,0.01±0.003,0.2258±0.001,0.8157±0.006,0.6841±0.062,0.0224±0.008,0.3159±0.062,0.9776±0.008,0.0094±0.003,0.2213±0.001,0.8291±0.01,0.7018±0.075,0.0273±0.008,0.2982±0.075,0.9727±0.008,0.0123±0.004,0.2314±0.002,0.8782±0.002,0.0834±0.006,0.3856±0.022,0.0805±0.007,0.087±0.005,0.3933±0.018,0.3764±0.027,6538fdd9e5,0.88,0.8784,0.0016000000000000458
resampling,0.8782±0.001,0.8773±0.003,0.879±0.002,0.8814±0.007,0.8829±0.007,0.8795±0.007,0.9908±0.0,0.9955±0.0,0.978±0.005,0.9868±0.002,0.9893±0.001,0.9857±0.009,0.9841±0.011,0.0139±0.0,0.228±0.001,0.8106±0.008,0.7974±0.028,0.0117±0.001,0.2026±0.028,0.9883±0.001,0.012±0.001,0.2237±0.002,0.8234±0.004,0.815±0.031,0.0156±0.003,0.185±0.031,0.9844±0.003,0.0174±0.002,0.2335±0.001,0.8763±0.003,0.0893±0.013,0.3797±0.043,0.0873±0.013,0.0918±0.013,0.3897±0.045,0.3678±0.04,4173f71331,0.879,0.8773,0.0017000000000000348
DomainInd,0.8801±0.001,0.8811±0.001,0.8788±0.002,0.8827±0.003,0.8849±0.003,0.8799±0.003,0.9916±0.002,0.995±0.002,0.9902±0.007,0.9926±0.004,0.9796±0.006,0.9897±0.002,0.9904±0.004,0.0384±0.002,0.2752±0.007,0.8169±0.003,0.6849±0.045,0.0206±0.005,0.3151±0.045,0.9794±0.005,0.0362±0.002,0.2687±0.006,0.8265±0.004,0.7213±0.034,0.0249±0.005,0.2787±0.034,0.9751±0.005,0.0427±0.003,0.2834±0.008,0.8788±0.002,0.0884±0.006,0.3748±0.023,0.0862±0.006,0.0912±0.007,0.3792±0.02,0.3694±0.027,af7e7442c3,0.8811,0.8788,0.0022999999999999687
LAFTR,0.8801±0.001,0.8798±0.001,0.8802±0.002,0.8918±0.003,0.8947±0.003,0.888±0.002,0.9925±0.002,0.9947±0.001,0.9935±0.006,0.9941±0.003,0.9814±0.005,0.9869±0.001,0.9857±0.005,0.0093±0.007,0.2249±0.001,0.8206±0.003,0.7479±0.062,0.0148±0.005,0.2521±0.062,0.9852±0.005,0.0092±0.005,0.2203±0.001,0.8305±0.002,0.7819±0.054,0.018±0.005,0.2181±0.054,0.982±0.005,0.0121±0.007,0.2308±0.002,0.8791±0.002,0.0738±0.006,0.4151±0.021,0.0714±0.006,0.0767±0.006,0.4149±0.018,0.4154±0.026,78bba4e61a,0.8802,0.8798,0.00039999999999995595
CFair,0.8777±0.002,0.8773±0.002,0.8779±0.003,0.8814±0.003,0.8843±0.003,0.8778±0.003,0.9863±0.001,0.9912±0.0,0.9714±0.009,0.9813±0.004,0.9898±0.005,0.9843±0.007,0.985±0.006,0.0116±0.006,0.2281±0.002,0.8132±0.008,0.8425±0.075,0.0083±0.005,0.1575±0.075,0.9917±0.005,0.0107±0.006,0.2241±0.002,0.8221±0.01,0.8616±0.069,0.0096±0.005,0.1384±0.069,0.9904±0.005,0.015±0.004,0.2331±0.003,0.8768±0.002,0.0902±0.004,0.3714±0.013,0.0863±0.004,0.0951±0.004,0.3845±0.017,0.3558±0.008,568848cb66,0.8779,0.8773,0.0006000000000000449
LNL,0.8665±0.003,0.8669±0.003,0.8657±0.003,0.8713±0.011,0.8759±0.012,0.8655±0.011,0.9886±0.002,0.9903±0.002,0.9912±0.006,0.9907±0.003,0.9842±0.007,0.9906±0.001,0.9919±0.001,0.0161±0.01,0.237±0.005,0.7972±0.007,0.7471±0.093,0.0201±0.014,0.2529±0.093,0.9799±0.014,0.0164±0.01,0.2321±0.006,0.7953±0.004,0.7746±0.095,0.0243±0.014,0.2254±0.095,0.9757±0.014,0.0174±0.009,0.2432±0.005,0.8653±0.003,0.1003±0.016,0.3815±0.039,0.0961±0.016,0.1057±0.017,0.3809±0.034,0.3823±0.046,3987743981,0.8669,0.8657,0.0011999999999999789
EnD,0.8684±0.004,0.8683±0.004,0.8682±0.003,0.8795±0.006,0.8824±0.006,0.8759±0.006,0.9918±0.001,0.9943±0.001,0.9987±0.002,0.9965±0.001,0.9875±0.004,0.993±0.006,0.992±0.005,0.0226±0.004,0.2346±0.001,0.8058±0.005,0.6846±0.078,0.0234±0.01,0.3154±0.078,0.9766±0.01,0.0222±0.004,0.23±0.001,0.8144±0.004,0.7057±0.081,0.0272±0.012,0.2943±0.081,0.9728±0.012,0.0241±0.005,0.2403±0.001,0.8678±0.004,0.0922±0.009,0.3723±0.024,0.0897±0.01,0.0954±0.009,0.3729±0.023,0.3717±0.025,7e6c2a5b04,0.8683,0.8682,9.999999999998899e-05
ODR,0.8787±0.0,0.8795±0.001,0.8776±0.001,0.8835±0.002,0.8856±0.002,0.8808±0.002,0.9931±0.001,0.996±0.001,0.995±0.005,0.9955±0.002,0.9892±0.007,0.9864±0.006,0.9902±0.007,0.0161±0.015,0.2284±0.004,0.8154±0.011,0.6125±0.08,0.0342±0.014,0.3875±0.08,0.9658±0.014,0.0179±0.014,0.2241±0.005,0.824±0.003,0.6319±0.088,0.0364±0.013,0.3681±0.088,0.9636±0.013,0.0155±0.015,0.2339±0.004,0.8776±0.001,0.0862±0.003,0.3867±0.008,0.0844±0.002,0.0884±0.003,0.3886±0.006,0.3843±0.011,310b4ad3c7,0.8795,0.8776,0.0018999999999999018
GroupDRO,0.8655±0.003,0.8654±0.003,0.8655±0.002,0.8783±0.007,0.8816±0.006,0.8742±0.008,0.9894±0.002,0.9925±0.002,0.9867±0.009,0.9896±0.004,,,,,,,,,,,,,,,,,,,,,0.0898±0.011,0.4053±0.032,0.0865±0.01,0.0941±0.012,0.4102±0.036,0.3995±0.029,4e673a3b12,0.8655,0.8654,0.00010000000000010001
SWAD,0.8816±0.001,0.8811±0.002,0.8818±0.001,0.8874±0.003,0.8908±0.003,0.8832±0.002,0.9889±0.001,0.9921±0.001,0.9887±0.012,0.9904±0.006,0.98±0.01,0.9806±0.001,0.9813±0.002,,,0.8204±0.001,0.618±0.008,0.028±0.001,0.382±0.008,0.972±0.001,,,0.8376±0.002,0.6521±0.025,0.034±0.001,0.3479±0.025,0.966±0.001,,,0.881±0.002,0.0823±0.004,0.3815±0.013,0.0789±0.004,0.0868±0.004,0.3867±0.007,0.3754±0.019,8f440a4ac8,0.8818,0.8811,0.0007000000000000339
