methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.9053±0.04,0.9164±0.04,0.9229±0.02,0.8401±0.02,0.8231±0.04,0.8571±0.04,0.9388±0.07,0.9108±0.08,0.8502±0.08,0.8805±0.08,0.1494±0.06,0.175±0.02,0.1235±0.09,0.1721±0.08,0.2424±0.03,0.0926±0.06
resampling,0.8757±0.05,0.8816±0.04,0.8895±0.05,0.8027±0.06,0.8095±0.07,0.7959±0.06,0.9184±0.07,0.8949±0.08,0.8586±0.1,0.8767±0.09,0.2414±0.06,0.1333±0.06,0.1852±0.04,0.2903±0.1,0.197±0.1,0.0556±0.0
DomainInd,0.828±0.03,0.8064±0.01,0.9229±0.03,0.7823±0.02,0.7551±0.02,0.8095±0.02,0.7959±0.07,0.8331±0.07,0.6246±0.07,0.7289±0.07,0.2126±0.04,0.225±0.02,0.1235±0.06,0.2903±0.06,0.3939±0.05,0.0185±0.03
LAFTR,0.8079±0.09,0.8446±0.07,0.8041±0.13,0.7313±0.08,0.7823±0.05,0.6803±0.1,0.8163±0.09,0.7336±0.07,0.835±0.15,0.7843±0.1,0.3276±0.12,0.1833±0.06,0.1852±0.13,0.4516±0.12,0.2576±0.1,0.0926±0.08
CFair,0.822±0.04,0.821±0.06,0.8602±0.05,0.7177±0.03,0.7483±0.05,0.6871±0.08,0.8435±0.06,0.7682±0.09,0.9108±0.07,0.8395±0.08,0.3793±0.05,0.1417±0.08,0.3086±0.09,0.4409±0.16,0.1818±0.09,0.0926±0.08
LNL,0.8943±0.03,0.8715±0.06,0.9421±0.02,0.8333±0.03,0.7755±0.07,0.8912±0.05,0.898±0.0,0.9263±0.04,0.6734±0.11,0.7999±0.04,0.1322±0.04,0.2167±0.07,0.1111±0.04,0.1505±0.07,0.3636±0.12,0.0371±0.03
EnD,0.7644±0.01,0.7963±0.04,0.7569±0.05,0.7075±0.05,0.7415±0.06,0.6735±0.11,0.8639±0.05,0.8491±0.14,0.8232±0.15,0.8361±0.06,0.3276±0.18,0.2417±0.15,0.2469±0.11,0.3978±0.24,0.2727±0.21,0.2037±0.17
ODR,0.8625±0.04,0.8676±0.04,0.8817±0.02,0.7993±0.02,0.8027±0.01,0.7959±0.02,0.898±0.05,0.8969±0.09,0.8586±0.13,0.8777±0.11,0.2241±0.1,0.1667±0.1,0.1728±0.14,0.2688±0.07,0.2273±0.16,0.0926±0.06
GroupDRO,0.806±0.08,0.812±0.07,0.8489±0.11,0.7211±0.1,0.7687±0.06,0.6735±0.15,0.8095±0.16,0.7368±0.16,0.8165±0.2,0.7766±0.15,0.3506±0.21,0.175±0.07,0.2099±0.14,0.4731±0.27,0.2576±0.14,0.0741±0.08
