methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,3.0,3.0,1.0,3.0,2.5,3.0,7.0,7.0,6.0,6.0,6.0,5.5,6.0,6.0,4.0,6.5
resampling,5.5,5.0,6.0,4.0,4.5,5.0,2.0,5.0,1.0,1.0,4.0,2.5,4.0,4.5,5.0,3.0
DomainInd,5.5,6.0,6.0,5.5,4.5,6.5,1.0,2.0,3.0,2.0,3.0,5.5,3.0,3.0,8.0,2.0
LAFTR,4.0,4.0,4.0,5.5,7.0,4.0,4.0,4.0,4.5,5.0,2.0,8.0,2.0,1.5,6.5,8.0
CFair,7.0,7.0,6.0,8.0,8.0,6.5,4.0,6.0,2.0,3.0,1.0,7.0,1.0,1.5,6.5,4.0
LNL,8.0,8.0,8.0,7.0,6.0,8.0,4.0,3.0,4.5,4.0,5.0,1.0,5.0,4.5,2.0,1.0
EnD,1.0,2.0,2.0,1.0,1.0,1.5,8.0,8.0,7.0,8.0,8.0,2.5,8.0,8.0,2.0,5.0
ODR,2.0,1.0,3.0,2.0,2.5,1.5,6.0,1.0,8.0,7.0,7.0,4.0,7.0,7.0,2.0,6.5
