methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.7974±0.01,0.7976±0.01,0.7852±0.03,0.7895±0.0,0.8596±0.03,0.7193±0.03,0.9474±0.0,0.9537±0.06,0.8667±0.07,0.9102±0.07,0.0476±0.05,0.4118±0.06,0.0278±0.05,0.0741±0.06,0.3333±0.08,0.4667±0.06
resampling,0.8992±0.02,0.9246±0.06,0.8852±0.08,0.8158±0.05,0.807±0.06,0.8246±0.06,0.8947±0.11,0.8519±0.04,0.8571±0.05,0.8545±0.04,0.1905±0.14,0.1765±0.16,0.2222±0.21,0.1481±0.06,0.1429±0.25,0.2±0.1
DomainInd,0.8095±0.05,0.8135±0.06,0.7593±0.02,0.7193±0.04,0.7368±0.05,0.7018±0.03,0.7719±0.15,0.787±0.14,0.8429±0.05,0.8149±0.09,0.3968±0.12,0.1373±0.07,0.3056±0.17,0.5185±0.06,0.1905±0.16,0.1±0.0
LAFTR,0.8301±0.04,0.7698±0.1,0.8667±0.17,0.7807±0.03,0.6842±0.18,0.8772±0.12,0.7193±0.22,0.5833±0.17,0.6667±0.22,0.625±0.06,0.2857±0.08,0.1373±0.09,0.3055±0.29,0.2593±0.26,0.3333±0.22,0.0±0.0
CFair,0.8095±0.03,0.7579±0.05,0.837±0.08,0.7368±0.03,0.7193±0.08,0.7544±0.08,0.8421±0.14,0.8148±0.07,0.8429±0.09,0.8288±0.08,0.3016±0.1,0.2157±0.07,0.2778±0.17,0.3333±0.11,0.2857±0.14,0.1667±0.06
LNL,0.5649±0.1,0.6548±0.09,0.5407±0.23,0.5351±0.09,0.5263±0.05,0.5439±0.13,0.8947±0.14,0.8704±0.09,0.7857±0.18,0.828±0.13,0.7143±0.17,0.1569±0.07,0.7222±0.13,0.7037±0.26,0.0476±0.08,0.2333±0.15
EnD,0.8375±0.03,0.8135±0.08,0.8667±0.03,0.7719±0.08,0.7368±0.14,0.807±0.03,0.8421±0.11,0.8056±0.23,0.8381±0.04,0.8218±0.13,0.2222±0.24,0.2353±0.12,0.3056±0.34,0.1111±0.11,0.1905±0.22,0.2667±0.06
ODR,0.8768±0.03,0.9048±0.05,0.8407±0.03,0.7895±0.05,0.807±0.11,0.7719±0.03,0.8772±0.08,0.8426±0.12,0.9571±0.02,0.8999±0.07,0.2063±0.12,0.2157±0.07,0.1944±0.19,0.2222±0.11,0.1905±0.08,0.2333±0.06
GroupDRO,0.8889±0.02,0.873±0.05,0.8963±0.05,0.8246±0.02,0.807±0.03,0.8421±0.0,0.9474±0.05,0.8981±0.06,0.9±0.09,0.8991±0.07,0.2063±0.03,0.1373±0.03,0.25±0.0,0.1481±0.06,0.0953±0.08,0.1667±0.06
