methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.8645±0.0,0.856±0.0,0.8703±0.0,0.7844±0.0,0.7831±0.01,0.7857±0.0,0.9205±0.01,0.9636±0.01,0.9493±0.01,0.9565±0.01,0.2415±0.01,0.1769±0.01,0.2242±0.01,0.2606±0.02,0.2043±0.01,0.1536±0.02
resampling,0.862±0.0,0.8535±0.0,0.8678±0.0,0.7835±0.0,0.7834±0.0,0.7837±0.0,0.9104±0.01,0.9535±0.01,0.9385±0.01,0.946±0.01,0.2389±0.01,0.1829±0.01,0.2169±0.01,0.2634±0.01,0.2161±0.01,0.1546±0.01
DomainInd,0.8631±0.0,0.8551±0.0,0.8688±0.0,0.7833±0.0,0.7823±0.0,0.7844±0.0,0.9285±0.01,0.9701±0.01,0.9592±0.0,0.9647±0.01,0.2403±0.02,0.1813±0.01,0.2261±0.01,0.2561±0.02,0.2033±0.01,0.1625±0.02
LAFTR,0.8624±0.0,0.8536±0.0,0.8686±0.0,0.7764±0.01,0.7749±0.0,0.7779±0.01,0.9209±0.02,0.9617±0.02,0.9519±0.01,0.9568±0.02,0.2654±0.02,0.1611±0.02,0.2473±0.01,0.2856±0.04,0.1871±0.01,0.139±0.03
CFair,0.8643±0.0,0.8565±0.0,0.8697±0.0,0.7805±0.0,0.7795±0.0,0.7814±0.01,0.9232±0.01,0.9637±0.02,0.9558±0.01,0.9597±0.01,0.2566±0.01,0.164±0.0,0.2394±0.01,0.2758±0.02,0.1879±0.01,0.1436±0.01
LNL,0.8513±0.0,0.8426±0.0,0.8579±0.0,0.7676±0.0,0.7658±0.01,0.7693±0.01,0.9265±0.04,0.96±0.03,0.9559±0.03,0.9579±0.03,0.2706±0.01,0.1753±0.0,0.2546±0.02,0.2883±0.02,0.1992±0.02,0.155±0.01
EnD,0.8597±0.0,0.8533±0.0,0.8654±0.0,0.7836±0.0,0.7804±0.01,0.7868±0.0,0.9542±0.01,0.9954±0.01,0.985±0.01,0.9902±0.01,0.2354±0.02,0.1879±0.02,0.2334±0.02,0.2377±0.01,0.196±0.02,0.181±0.02
ODR,0.8642±0.0,0.8561±0.0,0.8698±0.0,0.7834±0.0,0.7831±0.0,0.7837±0.0,0.9237±0.01,0.964±0.01,0.9568±0.01,0.9604±0.01,0.247±0.01,0.171±0.01,0.23±0.01,0.2659±0.01,0.1944±0.01,0.1511±0.0
GroupDRO,0.8567±0.0,0.8473±0.0,0.8632±0.0,0.7742±0.0,0.7703±0.0,0.7781±0.0,0.9238±0.0,0.9686±0.01,0.9476±0.0,0.9581±0.0,0.2607±0.01,0.1734±0.01,0.2459±0.01,0.2773±0.01,0.2018±0.01,0.1494±0.01
