methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.8648±0.0,0.8577±0.0,0.8637±0.0,0.7862±0.0,0.7903±0.0,0.7821±0.0,0.8236±0.0,0.9008±0.01,0.8962±0.0,0.8985±0.0,0.2379±0.01,0.1796±0.01,0.1938±0.01,0.293±0.01,0.2398±0.01,0.136±0.01
resampling,0.8622±0.0,0.8551±0.0,0.8609±0.0,0.7793±0.0,0.7824±0.0,0.7762±0.0,0.8332±0.01,0.9064±0.01,0.9091±0.0,0.9078±0.01,0.2569±0.01,0.169±0.01,0.2153±0.01,0.3089±0.02,0.2217±0.01,0.1309±0.01
DomainInd,0.8645±0.0,0.8578±0.0,0.8628±0.0,0.7839±0.0,0.7882±0.01,0.7796±0.0,0.828±0.0,0.9027±0.0,0.9033±0.01,0.903±0.0,0.2444±0.02,0.1756±0.02,0.2013±0.02,0.2986±0.02,0.2317±0.02,0.135±0.02
LAFTR,0.8658±0.0,0.8595±0.0,0.8642±0.0,0.7837±0.0,0.7885±0.0,0.7788±0.0,0.8238±0.0,0.8973±0.0,0.9011±0.0,0.8992±0.0,0.2481±0.01,0.1709±0.01,0.2025±0.01,0.3053±0.01,0.2283±0.01,0.1294±0.01
CFair,0.8661±0.0,0.8603±0.0,0.8645±0.0,0.7827±0.0,0.7861±0.0,0.7793±0.0,0.8383±0.01,0.9111±0.01,0.9174±0.01,0.9142±0.01,0.2539±0.01,0.1652±0.01,0.2144±0.01,0.3033±0.01,0.2131±0.01,0.1305±0.01
LNL,0.8527±0.0,0.8453±0.0,0.8514±0.0,0.7667±0.01,0.7706±0.01,0.7629±0.0,0.8278±0.02,0.8951±0.02,0.9052±0.02,0.9002±0.02,0.2805±0.01,0.1659±0.01,0.2339±0.02,0.3388±0.01,0.221±0.02,0.1261±0.01
EnD,0.8507±0.0,0.8495±0.0,0.8495±0.0,0.7759±0.01,0.7768±0.01,0.7751±0.0,0.8811±0.01,0.9518±0.01,0.96±0.01,0.9559±0.01,0.256±0.02,0.1784±0.02,0.2346±0.02,0.2828±0.03,0.2016±0.02,0.1616±0.03
ODR,0.8627±0.0,0.8549±0.0,0.862±0.0,0.7812±0.01,0.784±0.01,0.7784±0.01,0.8355±0.01,0.9098±0.01,0.9107±0.0,0.9103±0.01,0.2529±0.01,0.1703±0.01,0.2129±0.01,0.303±0.02,0.2221±0.01,0.1328±0.01
GroupDRO,0.8586±0.0,0.8514±0.0,0.857±0.0,0.7736±0.01,0.7788±0.01,0.7684±0.01,0.8233±0.0,0.8912±0.01,0.9037±0.01,0.8975±0.0,0.2704±0.03,0.1636±0.02,0.2222±0.02,0.331±0.03,0.2194±0.02,0.1232±0.02
