methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,7.0,5.0,6.0,3.0,1.0,6.0,1.5,1.0,2.0,1.0,8.0,1.0,8.0,8.0,1.5,1.0
resampling,1.0,1.0,2.0,2.0,2.5,3.0,3.5,4.0,3.0,3.0,7.0,4.0,7.0,5.5,6.0,4.0
DomainInd,5.5,3.5,7.0,7.0,4.5,7.0,7.0,7.0,4.5,7.0,2.0,7.0,2.5,2.0,4.5,7.0
LAFTR,4.0,6.0,3.5,4.0,7.0,1.0,8.0,8.0,8.0,8.0,4.0,7.0,4.0,4.0,1.5,8.0
CFair,5.5,7.0,5.0,6.0,6.0,5.0,5.5,5.0,4.5,4.0,3.0,3.0,5.0,3.0,3.0,5.5
LNL,8.0,8.0,8.0,8.0,8.0,8.0,3.5,3.0,7.0,5.0,1.0,5.0,1.0,1.0,8.0,3.0
EnD,3.0,3.5,3.5,5.0,4.5,4.0,5.5,6.0,6.0,6.0,5.0,2.0,2.5,7.0,4.5,2.0
ODR,2.0,2.0,1.0,1.0,2.5,2.0,1.5,2.0,1.0,2.0,6.0,7.0,6.0,5.5,7.0,5.5
