methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,8.0,6.0,7.0,3.5,1.0,7.0,1.5,1.0,3.0,1.0,9.0,1.0,9.0,9.0,1.5,1.0
resampling,1.0,1.0,2.0,2.0,3.0,3.0,3.5,4.0,4.0,4.0,8.0,5.0,7.0,6.5,7.0,5.0
DomainInd,6.5,4.5,8.0,8.0,5.5,8.0,8.0,8.0,5.5,8.0,2.0,8.0,2.5,2.0,5.0,8.0
LAFTR,5.0,7.0,3.5,5.0,8.0,1.0,9.0,9.0,9.0,9.0,4.0,8.0,4.0,4.0,1.5,9.0
CFair,6.5,8.0,6.0,7.0,7.0,6.0,6.5,6.0,5.5,5.0,3.0,3.5,5.0,3.0,3.0,6.5
LNL,9.0,9.0,9.0,9.0,9.0,9.0,3.5,3.0,8.0,6.0,1.0,6.0,1.0,1.0,9.0,3.5
EnD,4.0,4.5,3.5,6.0,5.5,4.0,6.5,7.0,7.0,7.0,5.0,2.0,2.5,8.0,5.0,2.0
ODR,3.0,2.0,5.0,3.5,3.0,5.0,5.0,5.0,1.0,2.0,6.5,3.5,8.0,5.0,5.0,3.5
GroupDRO,2.0,3.0,1.0,1.0,3.0,2.0,1.5,2.0,2.0,3.0,6.5,8.0,6.0,6.5,8.0,6.5
