methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,3.0,4.0,3.0,1.0,1.0,1.0,8.0,6.0,9.0,8.0,9.0,1.0,9.0,8.0,1.0,2.0
resampling,6.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,3.0,5.0,5.0
DomainInd,4.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,7.0,5.0,8.0,3.0,8.0,7.0,2.0,3.0
LAFTR,2.0,2.0,2.0,3.0,2.0,4.0,7.0,7.0,8.0,7.0,7.0,4.0,7.0,4.0,3.0,7.0
CFair,1.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,8.0,5.0,5.0,8.0,6.0
LNL,8.0,9.0,8.0,9.0,9.0,9.0,6.0,8.0,5.0,6.0,1.0,7.0,2.0,1.0,6.0,8.0
EnD,9.0,8.0,9.0,7.0,8.0,7.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,9.0,9.0,1.0
ODR,5.0,6.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,6.0,5.0,6.0,6.0,4.0,4.0
GroupDRO,7.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,6.0,9.0,2.0,9.0,3.0,2.0,7.0,9.0
