methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8809±0.001,0.8809±0.0,0.8807±0.002,0.8925±0.006,0.8877±0.007,0.8991±0.005,0.9907±0.007,0.991±0.005,0.9799±0.016,0.9854±0.005,0.9687±0.023,0.9715±0.005,0.9737±0.006,0.0129±0.008,0.2255±0.001,0.8317±0.01,0.7629±0.077,0.0194±0.008,0.2371±0.077,0.9806±0.008,0.0138±0.007,0.2296±0.001,0.8135±0.004,0.7011±0.119,0.0199±0.009,0.2989±0.119,0.9801±0.009,0.0155±0.006,0.2201±0.001,0.8797±0.001,0.0726±0.009,0.4178±0.026,0.0765±0.011,0.0675±0.007,0.4239±0.032,0.4091±0.022,5e963a8011,0.8809,0.8807,0.00019999999999997797
resampling,0.8767±0.002,0.8758±0.002,0.8777±0.002,0.8833±0.008,0.8775±0.009,0.891±0.005,0.9883±0.007,0.9884±0.006,0.9846±0.012,0.9865±0.003,,,,,,,,,,,,,,,,,,,,,0.0869±0.012,0.3823±0.027,0.0918±0.014,0.0803±0.008,0.3887±0.032,0.3732±0.021,3da813e298,0.8777,0.8758,0.0019000000000000128
DomainInd,0.8813±0.001,0.8811±0.002,0.8814±0.001,0.8851±0.004,0.8799±0.004,0.8921±0.004,0.9873±0.007,0.9885±0.005,0.98±0.004,0.9843±0.004,0.9652±0.01,0.9743±0.01,0.9757±0.014,0.0439±0.005,0.2779±0.012,0.831±0.003,0.7307±0.062,0.0216±0.008,0.2693±0.062,0.9784±0.008,0.0458±0.006,0.2811±0.011,0.8113±0.005,0.6634±0.08,0.0231±0.009,0.3366±0.08,0.9769±0.009,0.0414±0.005,0.2736±0.013,0.8806±0.001,0.0862±0.006,0.371±0.019,0.091±0.008,0.0796±0.006,0.3728±0.026,0.3685±0.015,2c5edf2341,0.8814,0.8811,0.00029999999999996696
LAFTR,0.8777±0.001,0.8772±0.001,0.8786±0.002,0.8863±0.004,0.8787±0.003,0.8965±0.008,0.9801±0.011,0.9815±0.01,0.9838±0.013,0.9827±0.012,,,,,,,,,,,,,,,,,,,,,0.0808±0.008,0.4068±0.031,0.0887±0.006,0.0701±0.013,0.4045±0.022,0.4101±0.045,db02d91467,0.8786,0.8772,0.0014000000000000679
CFair,0.8793±0.002,0.8802±0.001,0.8784±0.003,0.8811±0.005,0.878±0.005,0.8853±0.006,0.9979±0.001,0.9971±0.0,0.9671±0.012,0.9821±0.006,,,,,,,,,,,,,,,,,,,,,0.0908±0.009,0.3692±0.027,0.092±0.009,0.0891±0.009,0.3827±0.032,0.3498±0.02,db79e42ae5,0.8802,0.8784,0.0018000000000000238
LNL,0.8676±0.001,0.8681±0.003,0.8671±0.005,0.8758±0.01,0.8669±0.012,0.8879±0.007,0.969±0.008,0.9734±0.007,0.9552±0.029,0.9643±0.016,0.9828±0.011,0.9432±0.016,0.9438±0.016,0.0192±0.008,0.2377±0.003,0.7998±0.012,0.7038±0.127,0.0339±0.019,0.2962±0.127,0.9661±0.019,0.0221±0.013,0.2424±0.004,0.7834±0.015,0.7113±0.12,0.0247±0.014,0.2887±0.12,0.9753±0.014,0.0176±0.005,0.2313±0.004,0.8653±0.004,0.0933±0.016,0.3992±0.049,0.1046±0.019,0.078±0.013,0.3807±0.049,0.4255±0.053,c8d9df3088,0.8681,0.8671,0.0010000000000000009
EnD,0.8654±0.004,0.8698±0.005,0.8648±0.005,0.8795±0.021,0.8705±0.024,0.8918±0.017,0.9678±0.009,0.9726±0.009,0.9516±0.014,0.9621±0.01,0.9951±0.003,0.9323±0.006,0.9329±0.006,0.0215±0.003,0.2363±0.004,0.8126±0.001,0.7949±0.165,0.0196±0.019,0.2051±0.165,0.9804±0.019,0.0273±0.003,0.2412±0.005,0.7973±0.008,0.7885±0.167,0.0163±0.016,0.2115±0.167,0.9837±0.016,0.0179±0.008,0.2296±0.004,0.8648±0.005,0.0901±0.032,0.3909±0.071,0.1017±0.036,0.0744±0.027,0.371±0.072,0.4193±0.069,53bf338cfe,0.8698,0.8648,0.0050000000000000044
ODR,0.8798±0.001,0.8797±0.002,0.8796±0.001,0.8938±0.001,0.8892±0.003,0.8999±0.001,0.9891±0.001,0.9905±0.002,0.9906±0.001,0.9905±0.002,0.9635±0.008,0.9704±0.0,0.9714±0.004,0.0139±0.012,0.2265±0.003,0.8216±0.002,0.7773±0.1,0.017±0.01,0.2227±0.1,0.983±0.01,0.0132±0.013,0.2307±0.003,0.8078±0.004,0.7065±0.116,0.0192±0.011,0.2935±0.116,0.9808±0.011,0.0162±0.01,0.2207±0.003,0.8791±0.001,0.0715±0.002,0.4156±0.008,0.0755±0.003,0.066±0.001,0.4171±0.005,0.4135±0.014,e1f3aeace8,0.8797,0.8796,9.999999999998899e-05
GroupDRO,0.8602±0.005,0.8583±0.005,0.8625±0.005,0.8614±0.014,0.8528±0.017,0.8731±0.012,0.9771±0.016,0.9782±0.015,0.9801±0.018,0.9792±0.015,0.969±0.01,0.97±0.013,0.9682±0.011,,,0.7814±0.008,0.2125±0.041,0.2055±0.03,0.7875±0.041,0.7945±0.03,,,0.7863±0.009,0.243±0.047,0.1741±0.039,0.757±0.047,0.8259±0.039,,,0.8583±0.005,0.1139±0.021,0.358±0.046,0.1232±0.025,0.1014±0.016,0.3556±0.058,0.3615±0.032,1a0a28fd74,0.8625,0.8583,0.0042000000000000925
SWAD,0.8816±0.001,0.8798±0.002,0.8838±0.001,0.8897±0.006,0.8839±0.007,0.8976±0.006,0.9908±0.004,0.9897±0.003,0.9728±0.016,0.9813±0.007,0.9631±0.009,0.9739±0.002,0.9764±0.004,,,0.8313±0.013,0.6915±0.015,0.0267±0.001,0.3085±0.015,0.9733±0.001,,,0.8177±0.007,0.6187±0.003,0.0273±0.002,0.3813±0.003,0.9727±0.002,,,0.8798±0.002,0.0779±0.011,0.3987±0.037,0.0823±0.012,0.072±0.009,0.4099±0.042,0.3827±0.03,fec75706b0,0.8838,0.8798,0.0040000000000000036
SAM,0.8809±0.001,0.8814±0.001,0.8799±0.001,0.8912±0.006,0.8853±0.005,0.8992±0.006,0.9828±0.002,0.9852±0.001,0.989±0.009,0.9871±0.005,0.973±0.005,0.9677±0.004,0.9691±0.004,0.0115±0.001,0.224±0.001,0.8309±0.002,0.7908±0.059,0.0156±0.007,0.2092±0.059,0.9844±0.007,0.0131±0.001,0.2283±0.001,0.8135±0.003,0.7387±0.063,0.0158±0.004,0.2613±0.063,0.9842±0.004,0.0114±0.001,0.2181±0.001,0.8799±0.001,0.0762±0.01,0.3993±0.033,0.0825±0.01,0.0676±0.01,0.3948±0.036,0.4058±0.03,0eac534c5b,0.8814,0.8799,0.0014999999999999458
