methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,Max AUC,Min AUC,AUC Gap
baseline,0.8282±0.0,0.8176±0.0,0.8268±0.0,0.7486±0.0,0.753±0.0,0.7443±0.0,0.8131±0.01,0.8785±0.0,0.8801±0.01,0.8793±0.01,0.2941±0.01,0.1903±0.0,0.2402±0.01,0.3617±0.01,0.2599±0.01,0.14±0.0,0.8268,0.8176,0.009199999999999986
resampling,0.8264±0.02,0.818±0.01,0.8239±0.02,0.7386±0.02,0.7418±0.02,0.7353±0.01,0.8284±0.02,0.8856±0.01,0.9049±0.02,0.8953±0.01,0.3291±0.03,0.1648±0.0,0.2784±0.03,0.3928±0.02,0.22±0.01,0.1249±0.0,0.8239,0.818,0.005900000000000016
DomainInd,0.835±0.0,0.8275±0.0,0.832±0.0,0.7522±0.0,0.7582±0.0,0.7461±0.0,0.816±0.01,0.878±0.01,0.8908±0.0,0.8844±0.01,0.2941±0.02,0.1818±0.02,0.24±0.01,0.362±0.02,0.2451±0.02,0.136±0.02,0.832,0.8275,0.0044999999999999485
LAFTR,0.8289±0.0,0.8211±0.0,0.8252±0.0,0.7484±0.0,0.7534±0.01,0.7435±0.0,0.814±0.0,0.8765±0.01,0.8862±0.0,0.8814±0.0,0.3017±0.01,0.1799±0.01,0.247±0.01,0.3704±0.01,0.246±0.01,0.1322±0.01,0.8252,0.8211,0.0040999999999999925
CFair,0.8192±0.0,0.8133±0.0,0.8141±0.01,0.732±0.01,0.7384±0.01,0.7257±0.01,0.825±0.01,0.8769±0.01,0.9037±0.01,0.8903±0.01,0.3304±0.03,0.1788±0.02,0.2758±0.03,0.3988±0.03,0.2347±0.02,0.1384±0.01,0.8141,0.8133,0.0008000000000000229
LNL,0.8165±0.01,0.8081±0.01,0.8129±0.01,0.7256±0.02,0.7287±0.02,0.7224±0.01,0.8236±0.01,0.8773±0.01,0.8971±0.02,0.8872±0.01,0.3481±0.03,0.1693±0.01,0.2936±0.04,0.4163±0.03,0.229±0.02,0.1261±0.01,0.8129,0.8081,0.0047999999999999154
EnD,0.8253±0.01,0.8186±0.01,0.821±0.01,0.7487±0.01,0.7548±0.01,0.7426±0.01,0.8244±0.01,0.8872±0.01,0.8944±0.01,0.8908±0.0,0.2854±0.02,0.2026±0.02,0.2354±0.02,0.3482±0.02,0.2639±0.02,0.1582±0.02,0.821,0.8186,0.0023999999999999577
ODR,0.831±0.01,0.8248±0.01,0.8269±0.01,0.7413±0.02,0.7448±0.01,0.7378±0.02,0.8296±0.0,0.887±0.01,0.9075±0.01,0.8972±0.0,0.3254±0.04,0.1635±0.02,0.2753±0.03,0.3883±0.04,0.2172±0.02,0.1246±0.01,0.8269,0.8248,0.0020999999999999908
GroupDRO,0.8207±0.0,0.8081±0.01,0.8209±0.0,0.7404±0.0,0.7437±0.0,0.737±0.0,0.8166±0.01,0.8803±0.01,0.8814±0.0,0.8809±0.01,0.3067±0.0,0.1925±0.0,0.2536±0.01,0.3732±0.0,0.2613±0.01,0.1427±0.0,0.8209,0.8081,0.012799999999999923
