methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,Max AUC,Min AUC,AUC Gap
baseline,0.7937±0.03,0.8263±0.04,0.7667±0.1,0.6802±0.11,0.6847±0.14,0.6757±0.15,0.8829±0.03,0.8636±0.09,0.7778±0.15,0.8207±0.04,0.447±0.22,0.1333±0.07,0.4545±0.18,0.4394±0.29,0.1111±0.1,0.1556±0.21,0.8263,0.7667,0.059599999999999986
resampling,0.8672±0.03,0.8646±0.05,0.8626±0.02,0.7748±0.05,0.7928±0.06,0.7568±0.08,0.964±0.02,0.9394±0.07,0.9111±0.04,0.9253±0.05,0.303±0.13,0.1111±0.05,0.2879±0.09,0.3182±0.16,0.0889±0.08,0.1333±0.07,0.8646,0.8626,0.0020000000000000018
DomainInd,0.8379±0.03,0.8475±0.03,0.8313±0.07,0.7477±0.07,0.7387±0.06,0.7568±0.09,0.8919±0.0,0.8939±0.07,0.8889±0.1,0.8914±0.02,0.3561±0.11,0.1±0.03,0.4091±0.09,0.303±0.13,0.0444±0.08,0.1555±0.04,0.8475,0.8313,0.016199999999999992
LAFTR,0.7545±0.03,0.7384±0.03,0.7677±0.05,0.6982±0.01,0.6757±0.05,0.7207±0.06,0.9009±0.09,0.8788±0.14,0.9333±0.12,0.9061±0.08,0.3788±0.07,0.1889±0.08,0.4394±0.07,0.3182±0.12,0.1556±0.14,0.2222±0.04,0.7677,0.7384,0.029300000000000104
CFair,0.7864±0.06,0.7909±0.14,0.7697±0.07,0.7252±0.07,0.7477±0.1,0.7027±0.07,0.9009±0.08,0.9242±0.03,0.7778±0.14,0.851±0.07,0.3712±0.11,0.1333±0.03,0.3939±0.15,0.3485±0.07,0.0444±0.08,0.2222±0.14,0.7909,0.7697,0.021199999999999997
LNL,0.584±0.18,0.6258±0.25,0.5308±0.15,0.518±0.11,0.5766±0.19,0.4595±0.03,0.9009±0.03,0.8485±0.19,0.8444±0.08,0.8465±0.11,0.7576±0.2,0.0778±0.04,0.7121±0.32,0.803±0.09,0.0±0.0,0.1556±0.08,0.6258,0.5308,0.09499999999999997
EnD,0.8553±0.04,0.8566±0.05,0.8586±0.06,0.7613±0.08,0.7748±0.06,0.7477±0.11,0.973±0.03,0.9545±0.05,0.9111±0.04,0.9328±0.01,0.25±0.22,0.2222±0.13,0.2424±0.22,0.2576±0.23,0.2±0.18,0.2444±0.1,0.8586,0.8566,0.0020000000000000018
ODR,0.8947±0.01,0.8929±0.02,0.8838±0.05,0.8018±0.02,0.8018±0.06,0.8018±0.07,0.8919±0.03,0.8788±0.07,0.8667±0.12,0.8727±0.03,0.2424±0.09,0.1333±0.12,0.2879±0.14,0.197±0.07,0.0667±0.07,0.2±0.18,0.8929,0.8838,0.009099999999999997
GroupDRO,0.8952±0.02,0.9071±0.01,0.8848±0.03,0.8243±0.01,0.8288±0.06,0.8198±0.03,0.991±0.02,0.9394±0.03,0.9333±0.07,0.9364±0.05,0.2121±0.03,0.1222±0.02,0.2121±0.07,0.2121±0.03,0.1111±0.04,0.1333±0.07,0.9071,0.8848,0.022299999999999986
