methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4
baseline,0.8862±0.01,0.8637±0.02,0.7562±0.09,0.7837±0.04,0.8433±0.04,0.8395±0.04,0.8682±0.02,0.7917±0.05,0.8905±0.01,0.6407±0.04,0.9602±0.0,0.5756±0.14,0.1039±0.04,0.317±0.07,0.266±0.14,0.1543±0.04,0.0833±0.01,0.031±0.02,0.0154±0.01,0.1667±0.06,0.1667±0.06,0.3333±0.09,0.6875±0.11,0.8333±0.29
resampling,0.8282±0.02,0.8284±0.03,0.7363±0.03,0.6799±0.04,0.8035±0.04,0.8148±0.01,0.8259±0.04,0.8044±0.02,0.8657±0.03,0.7887±0.07,0.9104±0.04,0.6308±0.05,0.1485±0.06,0.3007±0.1,0.2179±0.08,0.2037±0.07,0.1605±0.06,0.1102±0.06,0.0718±0.05,0.4222±0.16,0.1667±0.08,0.2308±0.04,0.3125±0.19,0.6667±0.14
DomainInd,0.868±0.01,0.8403±0.02,0.709±0.05,0.7493±0.01,0.8134±0.06,0.8307±0.04,0.8433±0.02,0.7714±0.01,0.8955±0.01,0.7156±0.12,0.9403±0.01,0.6058±0.12,0.1367±0.05,0.2876±0.1,0.3237±0.11,0.1975±0.07,0.1111±0.03,0.048±0.02,0.0385±0.02,0.1778±0.14,0.141±0.04,0.3462±0.04,0.5208±0.25,0.75±0.25
LNL,0.859±0.01,0.806±0.03,0.6642±0.02,0.7362±0.02,0.7662±0.05,0.8063±0.02,0.8159±0.04,0.7495±0.04,0.8557±0.02,0.657±0.09,0.9279±0.03,0.5186±0.06,0.1761±0.05,0.2941±0.09,0.3942±0.02,0.2592±0.08,0.142±0.07,0.0819±0.06,0.0461±0.04,0.1333±0.03,0.1282±0.09,0.359±0.12,0.6042±0.24,0.9167±0.14
EnD,0.853±0.01,0.8592±0.01,0.7935±0.02,0.6614±0.02,0.8706±0.0,0.8467±0.0,0.8358±0.02,0.7765±0.02,0.8507±0.02,0.6811±0.05,0.9453±0.02,0.8506±0.01,0.0951±0.01,0.3954±0.01,0.0993±0.03,0.1142±0.01,0.1265±0.02,0.096±0.02,0.0487±0.02,0.5778±0.05,0.1923±0.0,0.3205±0.02,0.5417±0.1,0.25±0.0
ODR,0.8668±0.02,0.8438±0.01,0.7338±0.05,0.7574±0.06,0.8234±0.02,0.8418±0.01,0.8408±0.0,0.7747±0.05,0.8756±0.03,0.7133±0.01,0.9453±0.01,0.6083±0.0,0.1332±0.01,0.2843±0.06,0.2852±0.05,0.1883±0.03,0.1173±0.03,0.0735±0.04,0.0334±0.01,0.2±0.07,0.1282±0.02,0.3333±0.14,0.5±0.06,0.75±0.0
GroupDRO,0.8463±0.0,0.8279±0.04,0.7015±0.12,0.7207±0.05,0.8109±0.08,0.8389±0.03,0.8109±0.01,0.6978±0.05,0.8657±0.03,0.6716±0.08,0.9502±0.0,0.5705±0.14,0.1403±0.07,0.3497±0.13,0.3141±0.18,0.2068±0.11,0.1173±0.04,0.0734±0.05,0.0257±0.01,0.2444±0.1,0.1154±0.1,0.4872±0.14,0.5833±0.2,0.8333±0.29
