methods,Test Overall AUC,Test Overall Acc,Test acc-group_0,Test auc-group_0,Test acc-group_1,Test auc-group_1,Test acc-group_2,Test auc-group_2,Test acc-group_3,Test auc-group_3,Test acc-group_4,Test auc-group_4,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FPR-group_2,Test FPR-group_3,Test FPR-group_4,Test FNR-group_0,Test FNR-group_1,Test FNR-group_2,Test FNR-group_3,Test FNR-group_4
baseline,0.8751±0.0,0.7924±0.01,0.8167±0.01,0.7247±0.01,0.8262±0.02,0.7701±0.03,0.7452±0.02,0.7581±0.01,0.7655±0.01,0.7423±0.01,0.8083±0.01,0.6927±0.01,0.2612±0.02,0.1443±0.0,0.5227±0.01,0.4124±0.06,0.3171±0.03,0.1856±0.02,0.1146±0.02,0.0278±0.01,0.0474±0.01,0.1667±0.01,0.3298±0.02,0.5±0.03
resampling,0.8655±0.01,0.7957±0.01,0.819±0.01,0.7429±0.01,0.8226±0.01,0.7714±0.0,0.7607±0.02,0.7705±0.02,0.7655±0.01,0.7449±0.02,0.8107±0.02,0.6897±0.01,0.2449±0.03,0.1563±0.03,0.4621±0.04,0.3952±0.01,0.2866±0.04,0.191±0.04,0.1086±0.05,0.0521±0.03,0.0619±0.02,0.1724±0.05,0.3193±0.08,0.5119±0.07
DomainInd,0.8733±0.0,0.7971±0.0,0.8226±0.02,0.7496±0.03,0.8274±0.0,0.7743±0.0,0.7429±0.01,0.7561±0.01,0.7726±0.01,0.7571±0.01,0.8202±0.01,0.7046±0.02,0.2502±0.01,0.1469±0.02,0.4469±0.07,0.3986±0.02,0.3212±0.0,0.1946±0.02,0.1027±0.02,0.0538±0.02,0.0528±0.01,0.1667±0.02,0.2912±0.03,0.4881±0.04
LNL,0.8448±0.01,0.771±0.01,0.7631±0.01,0.6713±0.02,0.7976±0.01,0.7354±0.02,0.725±0.03,0.7388±0.02,0.7595±0.01,0.7258±0.02,0.8095±0.01,0.6644±0.02,0.2696±0.05,0.1812±0.03,0.5758±0.06,0.4674±0.06,0.3415±0.07,0.1694±0.05,0.0938±0.03,0.0816±0.01,0.0619±0.03,0.181±0.04,0.379±0.08,0.5774±0.08
EnD,0.86±0.0,0.7962±0.0,0.8286±0.0,0.7693±0.0,0.8464±0.0,0.8123±0.0,0.75±0.02,0.7626±0.01,0.756±0.01,0.7436±0.01,0.8±0.01,0.7232±0.01,0.248±0.02,0.1516±0.02,0.3901±0.02,0.299±0.03,0.311±0.04,0.218±0.03,0.1488±0.01,0.0712±0.02,0.0765±0.02,0.1638±0.02,0.2947±0.02,0.4048±0.02
ODR,0.8732±0.0,0.7995±0.01,0.8274±0.01,0.7674±0.01,0.8488±0.0,0.8028±0.0,0.7429±0.01,0.7553±0.01,0.7762±0.02,0.7572±0.02,0.8024±0.01,0.6845±0.03,0.2388±0.02,0.1552±0.01,0.3939±0.02,0.3471±0.01,0.3171±0.02,0.1838±0.04,0.1191±0.04,0.0712±0.01,0.0473±0.01,0.1724±0.02,0.3018±0.03,0.5119±0.11
GroupDRO,0.8647±0.0,0.7898±0.0,0.8202±0.01,0.7551±0.02,0.8131±0.0,0.7585±0.01,0.7369±0.02,0.754±0.02,0.7774±0.01,0.7505±0.02,0.8012±0.01,0.6637±0.01,0.2493±0.01,0.1641±0.02,0.4205±0.05,0.4193±0.03,0.3456±0.02,0.1658±0.01,0.1071±0.01,0.0694±0.0,0.0637±0.02,0.1466±0.01,0.3333±0.04,0.5655±0.02
