methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.7563±0.02,0.7083±0.08,0.8089±0.04,0.7167±0.04,0.7333±0.03,0.7±0.05,0.7833±0.03,0.8528±0.0,0.6333±0.12,0.7431±0.06,0.2796±0.04,0.2963±0.06,0.2083±0.04,0.3555±0.04,0.5±0.0,0.1333±0.12
resampling,0.6643±0.07,0.6458±0.03,0.6844±0.11,0.6333±0.08,0.65±0.05,0.6167±0.12,0.9167±0.08,0.9±0.05,0.9167±0.03,0.9083±0.03,0.3656±0.13,0.3704±0.13,0.3333±0.1,0.4±0.18,0.4167±0.14,0.3333±0.12
DomainInd,0.6643±0.07,0.625±0.11,0.6844±0.03,0.6083±0.16,0.65±0.17,0.5667±0.15,0.9333±0.06,0.9181±0.06,0.7667±0.1,0.8424±0.04,0.4194±0.26,0.2963±0.17,0.3958±0.25,0.4444±0.27,0.1667±0.14,0.4±0.2
LAFTR,0.7324±0.03,0.7031±0.06,0.7378±0.03,0.6083±0.05,0.5833±0.06,0.6333±0.08,0.9±0.09,0.9028±0.0,0.75±0.0,0.8264±0.0,0.4731±0.07,0.1111±0.0,0.4583±0.07,0.4889±0.1,0.25±0.0,0.0±0.0
CFair,0.6607±0.14,0.6198±0.19,0.6844±0.09,0.5583±0.23,0.55±0.3,0.5667±0.15,0.9±0.05,0.8861±0.06,0.7833±0.15,0.8347±0.05,0.4946±0.34,0.2593±0.17,0.5±0.38,0.4889±0.3,0.25±0.0,0.2667±0.31
LNL,0.5179±0.05,0.5469±0.05,0.5±0.06,0.5917±0.22,0.6333±0.21,0.55±0.23,0.9±0.13,0.9125±0.11,0.75±0.22,0.8312±0.15,0.3548±0.39,0.5926±0.39,0.3125±0.39,0.4±0.4,0.5833±0.52,0.6±0.35
EnD,0.7993±0.03,0.7812±0.05,0.8044±0.05,0.7917±0.05,0.8167±0.08,0.7667±0.03,0.7667±0.08,0.8389±0.04,0.6167±0.25,0.7278±0.14,0.1613±0.1,0.3704±0.13,0.0833±0.1,0.2444±0.1,0.5833±0.14,0.2±0.2
ODR,0.7599±0.01,0.7656±0.04,0.7556±0.03,0.7167±0.04,0.7333±0.06,0.7±0.05,0.8167±0.13,0.8736±0.08,0.6167±0.2,0.7451±0.13,0.2903±0.06,0.2593±0.06,0.2292±0.04,0.3556±0.1,0.4167±0.14,0.1333±0.23
GroupDRO,0.7861±0.05,0.7917±0.05,0.7778±0.06,0.75±0.07,0.7333±0.06,0.7667±0.1,0.8167±0.03,0.9208±0.07,0.55±0.26,0.7354±0.1,0.2258±0.09,0.3333±0.0,0.1875±0.06,0.2667±0.12,0.5833±0.14,0.1333±0.12
