methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1
baseline,0.8771±0.04,0.8747±0.04,0.9048±0.03,0.7949±0.04,0.7564±0.06,0.8333±0.02,0.7949±0.1,0.9278±0.05,0.8667±0.18,0.8973±0.07,0.1875±0.06,0.2333±0.03,0.2121±0.1,0.1746±0.05,0.2667±0.07,0.1333±0.12
resampling,0.8526±0.02,0.9131±0.05,0.8254±0.07,0.8141±0.06,0.8205±0.06,0.8077±0.1,0.7821±0.04,0.9466±0.08,0.9111±0.1,0.9289±0.03,0.1562±0.2,0.2333±0.2,0.1212±0.21,0.1746±0.19,0.2222±0.17,0.2667±0.31
DomainInd,0.9±0.03,0.9212±0.01,0.9111±0.04,0.7821±0.04,0.8077±0.04,0.7564±0.08,0.8205±0.08,0.9163±0.02,0.8667±0.07,0.8915±0.02,0.2917±0.07,0.1±0.05,0.2727±0.0,0.3016±0.1,0.1333±0.07,0.0±0.0
LAFTR,0.8125±0.03,0.8263±0.04,0.8381±0.07,0.7821±0.04,0.7564±0.06,0.8077±0.1,0.7179±0.06,0.9221±0.06,0.7778±0.08,0.8499±0.03,0.1667±0.13,0.3±0.1,0.2121±0.1,0.1429±0.14,0.2666±0.12,0.4±0.2
CFair,0.8438±0.09,0.8626±0.05,0.8603±0.1,0.8077±0.04,0.7692±0.1,0.8462±0.07,0.7949±0.16,0.9683±0.02,0.7333±0.24,0.8508±0.11,0.125±0.03,0.3±0.13,0.1212±0.05,0.127±0.03,0.3111±0.21,0.2667±0.23
LNL,0.8661±0.03,0.8768±0.03,0.9238±0.07,0.8141±0.03,0.7692±0.07,0.859±0.12,0.6795±0.02,0.8687±0.08,0.8222±0.14,0.8455±0.03,0.1562±0.09,0.2333±0.08,0.2424±0.05,0.1111±0.12,0.2222±0.14,0.2667±0.12
EnD,0.7677±0.07,0.8505±0.04,0.7143±0.08,0.6923±0.15,0.7436±0.1,0.641±0.23,0.8205±0.08,0.8918±0.09,0.8444±0.14,0.8681±0.09,0.3438±0.3,0.25±0.13,0.2727±0.24,0.381±0.33,0.2444±0.14,0.2667±0.23
ODR,0.8859±0.01,0.9111±0.04,0.8286±0.08,0.8141±0.01,0.7821±0.04,0.8462±0.07,0.8333±0.08,0.9048±0.09,0.8444±0.17,0.8746±0.11,0.1458±0.04,0.25±0.05,0.1212±0.1,0.1587±0.06,0.2889±0.08,0.1333±0.12
GroupDRO,0.8458±0.12,0.8889±0.11,0.8476±0.06,0.7436±0.13,0.7821±0.11,0.7051±0.16,0.8718±0.1,0.8658±0.13,0.9333±0.07,0.8996±0.08,0.3021±0.25,0.1833±0.08,0.2424±0.34,0.3333±0.22,0.2±0.07,0.1333±0.12
