methods,Test Overall AUC,Test auc-group_0,Test auc-group_1,Test Overall Acc,Test acc-group_0,Test acc-group_1,Test DP,Test EqOpp1,Test EqOpp0,Test EqOdd,Test EqOdd_0.5,Test EqOdd_specificity_0.8,Test EqOdd_sensitivity_0.8,Test Overall ECE,Test Overall BCE,Test tpr_at_tnr_0,Test fnr_at_thres-group_0,Test fpr_at_thres-group_0,Test recall_at_thres-group_0,Test specificity_at_thres-group_0,Test ECE-group_0,Test BCE-group_0,Test tpr_at_tnr_1,Test fnr_at_thres-group_1,Test fpr_at_thres-group_1,Test recall_at_thres-group_1,Test specificity_at_thres-group_1,Test ECE-group_1,Test BCE-group_1,Test worst_auc,Test Overall FPR,Test Overall FNR,Test FPR-group_0,Test FPR-group_1,Test FNR-group_0,Test FNR-group_1,hash,Max AUC,Min AUC,AUC Gap
baseline,0.8809±0.001,0.8809±0.0,0.8807±0.002,0.8925±0.006,0.8877±0.007,0.8991±0.005,0.9907±0.007,0.991±0.005,0.9799±0.016,0.9854±0.005,0.9687±0.023,0.9715±0.005,0.9737±0.006,0.0129±0.008,0.2255±0.001,0.8317±0.01,0.7629±0.077,0.0194±0.008,0.2371±0.077,0.9806±0.008,0.0138±0.007,0.2296±0.001,0.8135±0.004,0.7011±0.119,0.0199±0.009,0.2989±0.119,0.9801±0.009,0.0155±0.006,0.2201±0.001,0.8797±0.001,0.0726±0.009,0.4178±0.026,0.0765±0.011,0.0675±0.007,0.4239±0.032,0.4091±0.022,5e963a8011,0.8809,0.8807,0.00019999999999997797
resampling,0.8772±0.001,0.8751±0.004,0.8799±0.003,0.8863±0.004,0.8817±0.003,0.8924±0.006,0.9968±0.002,0.9947±0.002,0.9571±0.027,0.9759±0.014,0.9459±0.01,0.9826±0.01,0.9833±0.012,0.0092±0.004,0.2279±0.001,0.8099±0.006,0.8016±0.063,0.0159±0.006,0.1984±0.063,0.9841±0.006,0.0095±0.005,0.2334±0.002,0.8121±0.014,0.6989±0.067,0.0214±0.006,0.3011±0.067,0.9786±0.006,0.0117±0.003,0.2203±0.002,0.8751±0.004,0.0819±0.007,0.3973±0.022,0.0841±0.006,0.0788±0.008,0.415±0.032,0.3721±0.013,b2e319e410,0.8799,0.8751,0.0048000000000000265
DomainInd,0.8813±0.001,0.8811±0.002,0.8814±0.001,0.8851±0.004,0.8799±0.004,0.8921±0.004,0.9873±0.007,0.9885±0.005,0.98±0.004,0.9843±0.004,0.9652±0.01,0.9743±0.01,0.9757±0.014,0.0439±0.005,0.2779±0.012,0.831±0.003,0.7307±0.062,0.0216±0.008,0.2693±0.062,0.9784±0.008,0.0458±0.006,0.2811±0.011,0.8113±0.005,0.6634±0.08,0.0231±0.009,0.3366±0.08,0.9769±0.009,0.0414±0.005,0.2736±0.013,0.8806±0.001,0.0862±0.006,0.371±0.019,0.091±0.008,0.0796±0.006,0.3728±0.026,0.3685±0.015,2c5edf2341,0.8814,0.8811,0.00029999999999996696
LAFTR,0.878±0.001,0.8787±0.002,0.8767±0.003,0.8847±0.007,0.88±0.007,0.8913±0.006,0.989±0.008,0.9909±0.006,0.9698±0.032,0.9804±0.013,,,,,,,,,,,,,,,,,,,,,0.0835±0.012,0.3981±0.036,0.0873±0.013,0.0783±0.011,0.4043±0.044,0.3893±0.041,3726cea958,0.8787,0.8767,0.0020000000000000018
CFair,0.8793±0.002,0.8802±0.001,0.8784±0.003,0.8811±0.005,0.878±0.005,0.8853±0.006,0.9979±0.001,0.9971±0.0,0.9671±0.012,0.9821±0.006,,,,,,,,,,,,,,,,,,,,,0.0908±0.009,0.3692±0.027,0.092±0.009,0.0891±0.009,0.3827±0.032,0.3498±0.02,db79e42ae5,0.8802,0.8784,0.0018000000000000238
LNL,0.8676±0.001,0.8681±0.003,0.8671±0.005,0.8758±0.01,0.8669±0.012,0.8879±0.007,0.969±0.008,0.9734±0.007,0.9552±0.029,0.9643±0.016,0.9828±0.011,0.9432±0.016,0.9438±0.016,0.0192±0.008,0.2377±0.003,0.7998±0.012,0.7038±0.127,0.0339±0.019,0.2962±0.127,0.9661±0.019,0.0221±0.013,0.2424±0.004,0.7834±0.015,0.7113±0.12,0.0247±0.014,0.2887±0.12,0.9753±0.014,0.0176±0.005,0.2313±0.004,0.8653±0.004,0.0933±0.016,0.3992±0.049,0.1046±0.019,0.078±0.013,0.3807±0.049,0.4255±0.053,c8d9df3088,0.8681,0.8671,0.0010000000000000009
EnD,0.8654±0.004,0.8698±0.005,0.8648±0.005,0.8795±0.021,0.8705±0.024,0.8918±0.017,0.9678±0.009,0.9726±0.009,0.9516±0.014,0.9621±0.01,0.9951±0.003,0.9323±0.006,0.9329±0.006,0.0215±0.003,0.2363±0.004,0.8126±0.001,0.7949±0.165,0.0196±0.019,0.2051±0.165,0.9804±0.019,0.0273±0.003,0.2412±0.005,0.7973±0.008,0.7885±0.167,0.0163±0.016,0.2115±0.167,0.9837±0.016,0.0179±0.008,0.2296±0.004,0.8648±0.005,0.0901±0.032,0.3909±0.071,0.1017±0.036,0.0744±0.027,0.371±0.072,0.4193±0.069,53bf338cfe,0.8698,0.8648,0.0050000000000000044
ODR,0.8798±0.001,0.8797±0.002,0.8796±0.001,0.8938±0.001,0.8892±0.003,0.8999±0.001,0.9891±0.001,0.9905±0.002,0.9906±0.001,0.9905±0.002,0.9635±0.008,0.9704±0.0,0.9714±0.004,0.0139±0.012,0.2265±0.003,0.8216±0.002,0.7773±0.1,0.017±0.01,0.2227±0.1,0.983±0.01,0.0132±0.013,0.2307±0.003,0.8078±0.004,0.7065±0.116,0.0192±0.011,0.2935±0.116,0.9808±0.011,0.0162±0.01,0.2207±0.003,0.8791±0.001,0.0715±0.002,0.4156±0.008,0.0755±0.003,0.066±0.001,0.4171±0.005,0.4135±0.014,e1f3aeace8,0.8797,0.8796,9.999999999998899e-05
GroupDRO,0.87±0.003,0.8715±0.002,0.8677±0.002,0.879±0.002,0.8755±0.004,0.8838±0.002,0.9906±0.007,0.9922±0.006,0.9852±0.016,0.9887±0.005,,,,,,,,,,,,,,,,,,,,,0.0911±0.002,0.3868±0.005,0.094±0.004,0.0873±0.004,0.3897±0.005,0.3827±0.018,8465aed680,0.8715,0.8677,0.0038000000000000256
SWAD,0.8879±0.001,0.8872±0.001,0.8885±0.0,0.8906±0.003,0.8863±0.003,0.8963±0.002,0.9883±0.004,0.9904±0.003,0.9912±0.006,0.9908±0.004,0.9542±0.003,0.9743±0.001,0.9741±0.002,0.0094±0.001,0.2192±0.001,0.8404±0.002,0.6715±0.006,0.029±0.001,0.3285±0.006,0.971±0.001,0.0074±0.0,0.2234±0.001,0.8258±0.004,0.5803±0.006,0.0285±0.001,0.4197±0.006,0.9715±0.001,0.013±0.002,0.2134±0.001,0.8872±0.001,0.0805±0.005,0.3674±0.017,0.0845±0.006,0.075±0.003,0.3666±0.022,0.3684±0.01,9db95942c5,0.8885,0.8872,0.0012999999999999678
